rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__eta,param_model__gamma,param_model__lambda,params,split0_test_score,split0_train_score
87,0.39577347298174065,5.551115123125783e-17,0.40552261874553047,0.0,294.7417314052582,0.0,0.8327734470367432,0.0,0.001,100,10,"{'model__eta': 0.001, 'model__gamma': 100, 'model__lambda': 10}",0.3957734729817407,0.40552261874553047
88,0.39512466400963947,5.551115123125783e-17,0.40208539989388453,0.0,324.20992040634155,0.0,0.9474663734436035,0.0,0.01,100,0.0001,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 0.0001}",0.3951246640096394,0.40208539989388453
88,0.39512466400963947,5.551115123125783e-17,0.40208539989388453,0.0,319.23223400115967,0.0,0.9763884544372559,0.0,0.01,100,0.001,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 0.001}",0.3951246640096394,0.40208539989388453
88,0.39512466400963947,5.551115123125783e-17,0.40208539989388453,0.0,316.06969141960144,0.0,1.0990612506866455,0.0,0.01,100,0.01,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 0.01}",0.3951246640096394,0.40208539989388453
91,0.39503197701362497,0.0,0.40206233131098756,0.0,308.93078446388245,0.0,1.202784538269043,0.0,0.01,100,0.1,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 0.1}",0.39503197701362497,0.40206233131098756
92,0.3945685420335527,0.0,0.4014625481556668,0.0,292.2773323059082,0.0,0.8965926170349121,0.0,0.01,100,1,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 1}",0.3945685420335527,0.4014625481556668
92,0.3945685420335527,0.0,0.4029620060439687,0.0,286.33720874786377,0.0,0.7479989528656006,0.0,1,10,10000,"{'model__eta': 1, 'model__gamma': 10, 'model__lambda': 10000}",0.3945685420335527,0.4029620060439687
94,0.3943831680415238,0.0,0.4044383953493737,0.0,287.07024669647217,0.0,0.8676800727844238,0.0,0.0001,100,10,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 10}",0.3943831680415238,0.4044383953493737
95,0.393827046065437,0.0,0.4053842072481488,0.0,292.42093896865845,0.0,1.9378180503845215,0.0,0.001,0,100,"{'model__eta': 0.001, 'model__gamma': 0, 'model__lambda': 100}",0.393827046065437,0.4053842072481488
96,0.3931782370933358,0.0,0.40245449722023574,0.0,261.65222787857056,0.0,0.43483805656433105,0.0,1,100,100,"{'model__eta': 1, 'model__gamma': 100, 'model__lambda': 100}",0.3931782370933358,0.40245449722023574
97,0.3912318101770322,0.0,0.39811760363560866,0.0,295.07085132598877,0.0,0.8038496971130371,0.0,0.01,100,10,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 10}",0.3912318101770322,0.39811760363560866
98,0.3897488182408008,0.0,0.39823294655009345,0.0,291.65199518203735,0.0,1.3184759616851807,0.0,0.001,10,100,"{'model__eta': 0.001, 'model__gamma': 10, 'model__lambda': 100}",0.3897488182408008,0.39823294655009345
99,0.389378070256743,0.0,0.39853283812775386,0.0,272.99489188194275,0.0,1.593738317489624,0.0,0.0001,0,100,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 100}",0.389378070256743,0.39853283812775386
100,0.38872926128464175,0.0,0.3972179289026275,0.0,280.666375875473,0.0,1.2656147480010986,0.0,0.0001,10,100,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 100}",0.38872926128464175,0.3972179289026275
101,0.3886365742886273,0.0,0.3965028028328219,0.0,305.48500061035156,0.0,0.6482653617858887,0.0,0.1,100,1,"{'model__eta': 0.1, 'model__gamma': 100, 'model__lambda': 1}",0.3886365742886273,0.3965028028328219
102,0.3883585133005839,0.0,0.39671042007889457,0.0,317.5617001056671,0.0,0.8108327388763428,0.0,0.1,100,0.0001,"{'model__eta': 0.1, 'model__gamma': 100, 'model__lambda': 0.0001}",0.3883585133005839,0.39671042007889457
102,0.3883585133005839,0.0,0.39671042007889457,0.0,312.1870753765106,0.0,0.6462714672088623,0.0,0.1,100,0.001,"{'model__eta': 0.1, 'model__gamma': 100, 'model__lambda': 0.001}",0.3883585133005839,0.39671042007889457
102,0.3883585133005839,0.0,0.39671042007889457,0.0,314.9058039188385,0.0,0.8457381725311279,0.0,0.1,100,0.01,"{'model__eta': 0.1, 'model__gamma': 100, 'model__lambda': 0.01}",0.3883585133005839,0.39671042007889457
102,0.3883585133005839,0.0,0.39671042007889457,0.0,308.75824546813965,0.0,0.7041168212890625,0.0,0.1,100,0.1,"{'model__eta': 0.1, 'model__gamma': 100, 'model__lambda': 0.1}",0.3883585133005839,0.39671042007889457
102,0.3883585133005839,0.0,0.3958568825117073,0.0,299.01829385757446,0.0,0.6911523342132568,0.0,0.1,100,10,"{'model__eta': 0.1, 'model__gamma': 100, 'model__lambda': 10}",0.3883585133005839,0.3958568825117073
107,0.3875243303364538,0.0,0.3962259798380585,0.0,283.6085057258606,0.0,2.1033763885498047,0.0,0.1,0,10000,"{'model__eta': 0.1, 'model__gamma': 0, 'model__lambda': 10000}",0.3875243303364538,0.3962259798380585
107,0.3875243303364538,0.0,0.39465731620106576,0.0,297.60108399391174,0.0,0.9115631580352783,0.0,0.1,100,100,"{'model__eta': 0.1, 'model__gamma': 100, 'model__lambda': 100}",0.3875243303364538,0.39465731620106576
109,0.3860413384002224,0.0,0.39442663037209624,0.0,283.2444806098938,0.0,0.9424798488616943,0.0,0.0001,100,100,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 100}",0.3860413384002224,0.39442663037209624
109,0.3860413384002224,0.0,0.3940113958799511,0.0,288.978147983551,0.0,0.9305105209350586,0.0,0.001,100,100,"{'model__eta': 0.001, 'model__gamma': 100, 'model__lambda': 100}",0.3860413384002224,0.3940113958799511
111,0.3852071554360923,0.0,0.3905049712796143,0.0,291.05259799957275,0.0,0.9325070381164551,0.0,0.01,100,100,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 100}",0.3852071554360923,0.3905049712796143
112,0.3848364074520344,0.0,0.3926964866548248,0.0,258.75099658966064,0.0,0.3799734115600586,0.0,1,100,1000,"{'model__eta': 1, 'model__gamma': 100, 'model__lambda': 1000}",0.3848364074520344,0.3926964866548248
113,0.3845583464639911,0.0,0.38916699347159106,0.0,282.37380862236023,0.0,1.0272538661956787,0.0,0.1,10,10000,"{'model__eta': 0.1, 'model__gamma': 10, 'model__lambda': 10000}",0.3845583464639911,0.38916699347159106
