rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__leaf_size,param_model__n_neighbors,param_model__p,params,split0_test_score,split0_train_score
53,0.34220038928538327,0.0,0.496343629610833,0.0,3.5654633045196533,0.0,26.614820957183838,0.0,50,7,2,"{'model__leaf_size': 50, 'model__n_neighbors': 7, 'model__p': 2}",0.34220038928538327,0.496343629610833
53,0.34220038928538327,0.0,0.496343629610833,0.0,3.4866745471954346,0.0,24.547348976135254,0.0,80,7,2,"{'model__leaf_size': 80, 'model__n_neighbors': 7, 'model__p': 2}",0.34220038928538327,0.496343629610833
55,0.3421077022893688,0.0,0.496343629610833,0.0,6.171499013900757,0.0,21.42270278930664,0.0,20,7,2,"{'model__leaf_size': 20, 'model__n_neighbors': 7, 'model__p': 2}",0.3421077022893688,0.496343629610833
55,0.3421077022893688,0.0,0.49636669819372997,0.0,3.0288987159729004,0.0,19.87584376335144,0.0,30,7,2,"{'model__leaf_size': 30, 'model__n_neighbors': 7, 'model__p': 2}",0.3421077022893688,0.49636669819372997
57,0.33691723051255906,0.0,0.5459641514221781,0.0,5.51525354385376,0.0,26.226853847503662,0.0,20,5,1,"{'model__leaf_size': 20, 'model__n_neighbors': 5, 'model__p': 1}",0.33691723051255906,0.5459641514221781
57,0.33691723051255906,0.0,0.546033357170869,0.0,2.7197265625,0.0,25.991487741470337,0.0,30,5,1,"{'model__leaf_size': 30, 'model__n_neighbors': 5, 'model__p': 1}",0.33691723051255906,0.546033357170869
57,0.33691723051255906,0.0,0.5460102885879721,0.0,2.8543667793273926,0.0,34.17360234260559,0.0,50,5,1,"{'model__leaf_size': 50, 'model__n_neighbors': 5, 'model__p': 1}",0.33691723051255906,0.5460102885879721
57,0.33691723051255906,0.0,0.5460102885879721,0.0,3.344055652618408,0.0,35.956836223602295,0.0,80,5,1,"{'model__leaf_size': 80, 'model__n_neighbors': 5, 'model__p': 1}",0.33691723051255906,0.5460102885879721
61,0.3230141811103902,0.0,0.53186924727214,0.0,3.4557576179504395,0.0,22.124826431274414,0.0,50,5,2,"{'model__leaf_size': 50, 'model__n_neighbors': 5, 'model__p': 2}",0.3230141811103902,0.53186924727214
61,0.3230141811103902,0.0,0.53186924727214,0.0,3.1316230297088623,0.0,22.794039726257324,0.0,80,5,2,"{'model__leaf_size': 80, 'model__n_neighbors': 5, 'model__p': 2}",0.3230141811103902,0.53186924727214
63,0.32292149411437576,0.0,0.5318231101063462,0.0,5.1891255378723145,0.0,20.839263916015625,0.0,20,5,2,"{'model__leaf_size': 20, 'model__n_neighbors': 5, 'model__p': 2}",0.32292149411437576,0.5318231101063462
63,0.32292149411437576,0.0,0.5318231101063462,0.0,3.2712528705596924,0.0,18.62120032310486,0.0,30,5,2,"{'model__leaf_size': 30, 'model__n_neighbors': 5, 'model__p': 2}",0.32292149411437576,0.5318231101063462
65,0.3063305218277876,0.0,0.6049274493067891,0.0,2.7745790481567383,0.0,23.405402421951294,0.0,30,3,1,"{'model__leaf_size': 30, 'model__n_neighbors': 3, 'model__p': 1}",0.3063305218277876,0.6049274493067891
65,0.3063305218277876,0.0,0.604973586472583,0.0,3.1645336151123047,0.0,28.246459245681763,0.0,50,3,1,"{'model__leaf_size': 50, 'model__n_neighbors': 3, 'model__p': 1}",0.3063305218277876,0.604973586472583
65,0.3063305218277876,0.0,0.604973586472583,0.0,3.0608158111572266,0.0,29.314600944519043,0.0,80,3,1,"{'model__leaf_size': 80, 'model__n_neighbors': 3, 'model__p': 1}",0.3063305218277876,0.604973586472583
68,0.30614514783575864,0.0,0.604973586472583,0.0,6.846690654754639,0.0,21.400763988494873,0.0,20,3,1,"{'model__leaf_size': 20, 'model__n_neighbors': 3, 'model__p': 1}",0.30614514783575864,0.604973586472583
69,0.2930762813977199,0.0,0.5928625804516828,0.0,2.638942241668701,0.0,17.136170625686646,0.0,30,3,2,"{'model__leaf_size': 30, 'model__n_neighbors': 3, 'model__p': 2}",0.2930762813977199,0.5928625804516828
69,0.2930762813977199,0.0,0.5928395118687859,0.0,3.147580146789551,0.0,19.2894127368927,0.0,50,3,2,"{'model__leaf_size': 50, 'model__n_neighbors': 3, 'model__p': 2}",0.2930762813977199,0.5928395118687859
69,0.2930762813977199,0.0,0.5928395118687859,0.0,3.2024359703063965,0.0,20.228898763656616,0.0,80,3,2,"{'model__leaf_size': 80, 'model__n_neighbors': 3, 'model__p': 2}",0.2930762813977199,0.5928395118687859
72,0.29298359440170546,0.0,0.5929087176174768,0.0,7.488972902297974,0.0,15.58631420135498,0.0,20,3,2,"{'model__leaf_size': 20, 'model__n_neighbors': 3, 'model__p': 2}",0.29298359440170546,0.5929087176174768
